"INLET DATA"
"Gully id"
"Gully index"
"Outlet type"
"Manhole index"
"Coord. x"
"Coord. y"
"Coord. z"
"Width"
"Length"
"Depth"
"Method"
"Weir Cd"
"Orifice Cd"
"A param"
"B param"
"Efficiency"
        1001             1             0            10   418508.58  4577581.40       36.78      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1002             2             0            10   418517.71  4577582.56       36.91      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1003             3             0            10   418501.78  4577622.28       38.24      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1004             4             0            10   418511.08  4577623.65       38.15      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1005             5             0            11   418601.33  4577602.46       33.94      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1006             6             0            11   418615.22  4577605.21       34.09      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1007             7             0             8   418593.81  4577648.04       37.14      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1008             8             0             8   418607.41  4577650.35       37.03      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1009             9             0            16   418488.16  4577581.03       38.22      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1010            10             0            12   418637.94  4577596.53       32.38      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1011            11             0            12   418640.25  4577580.03       32.37      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1012            12             0            62   418690.61  4577605.50       30.97      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1013            13             0            62   418693.94  4577589.29       30.77      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1014            14             0            62   418699.29  4577623.87       31.58      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1015            15             0             7   418692.06  4577672.35       34.53      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1016            16             0             6   418681.35  4577729.50       37.04      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1017            17             0            26   418672.09  4577787.96       37.57      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1018            18             0            26   418668.33  4577811.98       37.17      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1019            19             0            46   418657.62  4577874.78       34.82      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1020            20             0            46   418651.25  4577901.40       34.03      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1021            21             0            48   418640.83  4577961.89       31.77      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1022            22             0            48   418638.23  4577986.20       30.94      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1023            23             0            53   418629.26  4578044.07       29.45      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1024            24             0            42   418446.50  4577939.65       33.27      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1025            25             0            38   418341.12  4577922.21       33.97      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1026            26             0            36   418323.90  4577903.84       35.68      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1027            27             0            36   418330.70  4577862.16       38.13      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1028            28             0            35   418335.77  4577832.36       39.74      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1029            29             0            34   418348.50  4577793.72       42.48      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1030            30             0            34   418366.73  4577760.30       44.61      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1031            31             0            20   418394.22  4577717.76       45.76      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1032            32             0             1   418431.41  4577679.99       43.60      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1033            33             0             1   418434.30  4577664.80       44.41      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1034            34             0             2   418485.67  4577687.22       42.82      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1035            35             0             2   418487.41  4577673.77       42.84      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1036            36             0             3   418533.86  4577695.04       41.51      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1037            37             0             3   418536.32  4577681.87       41.54      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1038            38             0             5   418610.55  4577706.47       39.07      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1039            39             0             5   418613.15  4577690.70       39.27      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1040            40             0             6   418672.33  4577716.31       37.15      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1041            41             0             6   418675.52  4577701.55       37.20      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1042            42             0             4   418584.36  4577738.45       39.99      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1043            43             0            18   418592.17  4577739.89       39.98      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1044            44             1         -9999   418486.54  4577722.67       43.02      1.0000      0.2000         -9999             0      1.6000      0.7000      0.4960      0.7120     90.0000
        1045            45             0             2   418493.34  4577723.98       42.90      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1046            46             0            20   418393.21  4577747.27       44.97      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1047            47             0            21   418391.91  4577757.40       44.67      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1048            48             0            21   418435.03  4577755.67       43.71      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1049            49             0            22   418473.95  4577773.75       42.48      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1050            50             0            23   418493.49  4577765.51       42.23      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1051            51             0            23   418492.04  4577772.60       41.99      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1052            52             0            24   418540.51  4577781.13       41.03      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
        1053            53             0            24   418541.53  4577774.48       41.01      1.0000      0.2000         -9999             1      1.6000      0.7000  -9999.0000  -9999.0000     90.0000
