gully_id outlet_type node_id xcoord ycoord zcoord width length depth method weir_cd orifice_cd a_param b_param efficiency
1051 To_network J24 418492.038887 4577772.595332 41.99 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1052 To_network J25 418540.51253 4577781.132481 41.03 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1053 To_network J25 418541.525412 4577774.476399 41.01 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1054 To_network J26 418586.092223 4577792.563579 39.9 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1055 To_network J26 418591.301331 4577782.434758 39.84 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1056 To_network J27 418635.43405 4577797.627989 38.32 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1057 To_network J27 418636.881024 4577790.682512 38.83 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1058 To_network J25 418575.239915 4577799.074964 39.61 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1059 To_network J25 418581.4335598481 4577799.599808297 39.39 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1060 To_network J45 418567.136858 4577845.08875 38.04 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1061 To_network J45 418573.9573344793 4577844.865407529 38.15 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1062 To_network J45 418550.062561 4577888.497981 37.31 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1063 To_network J45 418568.439135 4577902.678331 36.21 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1064 To_network J46 418579.002049 4577877.935068 36.79 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1065 To_network J46 418577.989166 4577887.919192 36.68 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1066 To_network J47 418630.659035 4577891.536628 35.26 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1067 To_network J47 418631.816614 4577882.420689 35.19 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1068 To_network J45 418527.48976 4577886.90631 37.48 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1069 To_network J44 418513.598806 4577874.172935 37.47 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1070 To_network J31 418467.729717 4577814.123497 40.68 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1071 To_network J31 418466.282743 4577827.00157 40.25 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1072 To_network J31 418477.135051 4577820.924277 40.47 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1073 To_network J32 418419.690167 4577816.004564 41.67 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1074 To_network J32 418420.558352 4577810.216666 41.85 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1075 To_network J29 418380.187766 4577801.53482 42.77 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1076 To_network J30 418370.203643 4577804.718164 42.59 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1077 To_network J30 418378.596094 4577813.110615 42.0 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1078 To_network J29 418378.596094 4577763.334696 44.44 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1079 To_network J30 418361.955889 4577848.272093 38.89 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1080 To_network J30 418371.795315 4577850.15316 38.77 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1081 To_network J39 418355.010412 4577909.768505 33.87 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1082 To_network J34 418393.84236491227 4577867.459818534 37.81 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1083 To_network J34 418395.091602 4577859.992586 38.29 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1084 To_network J33 418440.55508003593 4577875.293034567 37.82 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
